Attributes,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,GSK,PFE,AZN,GSK,PFE,AZN
Date,,,,,,
1/4/2019,2960400,25754600,2854000,35.44360352,40.24308777,36.85777664
1/7/2019,3403400,19919800,5738700,35.61797333,40.45833969,36.48148346
1/8/2019,3114600,18669100,4697400,35.84741592,40.64552307,35.87000656
1/9/2019,2241800,19077400,6482000,35.97590256,40.56129074,35.55956268
1/10/2019,2972500,37695600,4809000,36.1227417,39.597332,35.99230194
1/11/2019,3552700,19985300,5401000,36.14109802,40.13078308,34.75994873
1/14/2019,5207100,16703200,13875300,35.43442154,39.65348053,33.44292068
1/15/2019,3528700,24540200,10138800,35.83823395,39.99040222,33.96973419
1/16/2019,3627300,28623700,7091500,35.25087357,39.41015244,33.66870117
1/17/2019,3817900,22938600,4168300,35.77399445,39.74707031,34.13906479
1/18/2019,5922500,36639900,4366500,35.84741592,39.80322266,34.38365173
1/22/2019,2807700,27935600,7044100,35.76481628,39.55989075,34.1202507
1/23/2019,2735400,23209500,7925300,35.85659027,39.45694733,34.51535416
1/24/2019,4394600,32631900,6285400,35.21416092,38.32452393,33.66870117
1/25/2019,2850000,34025100,6896600,35.26005173,38.03439713,33.631073
1/28/2019,2520900,37314700,3998900,35.27840424,36.99556351,33.38648605
1/29/2019,2263800,48744600,4498800,35.53538132,38.15605927,33.44292068
1/30/2019,5768300,34220000,4823500,35.52619934,38.91412735,33.81921768
1/31/2019,4001700,38830600,4978500,35.97590256,40.07532501,34.41188049
2/1/2019,2313900,25844100,3587800,35.97590256,40.48126984,34.47773361
2/4/2019,2166300,18431200,2652500,35.92083359,40.06588364,34.58120728
2/5/2019,3197300,20045200,2281600,36.20533752,39.75434875,34.80698013
2/6/2019,5727700,15607600,3083500,37.33416748,39.96203613,34.68468857
2/7/2019,3674200,23005700,3357000,37.23321915,39.36727905,34.75053787
2/8/2019,3130100,26091200,3424100,37.71045303,39.86763382,34.81638718
2/11/2019,5360900,25713600,3903900,36.92118073,39.34840393,34.50595093
2/12/2019,3235400,28975500,3729300,37.1965065,39.527771,34.99512863
2/13/2019,3065400,23488800,4390500,37.04967117,39.36727905,34.41188049
2/14/2019,2940800,18847200,12341200,37.49937057,39.62216949,37.61035156
2/15/2019,3213900,18186900,6410200,37.8481102,40.02812195,38.49464035
2/19/2019,2676300,23181200,8070900,37.89400482,40.2169342,38.06190491
2/20/2019,2600400,25953400,7081100,37.95824814,39.83930588,38.12775803
2/21/2019,2457800,18607100,5791400,37.75061798,39.78266525,38.03368378
2/22/2019,2279800,23509800,5956300,37.75992966,40.55679703,38.51345444
2/25/2019,2203200,23979900,5982100,37.7040596,40.67008591,39.04026794
2/26/2019,1766100,15701100,4216800,37.71336746,40.61343384,39.49181366
2/27/2019,3308600,15631000,4479300,37.67612457,40.5284729,39.87751007
2/28/2019,3600700,37004200,5698500,37.583004,40.92498016,40.01223755
3/1/2019,2323800,25301500,4590000,37.61093903,40.93441772,40.18544769
3/4/2019,2081900,21637400,3948200,37.50850296,40.6606369,40.11808777
3/5/2019,1990600,25170600,5668200,37.583004,40.49071121,40.71471024
3/6/2019,1517300,21262200,2490000,37.42470169,39.51832962,40.44526291
3/7/2019,3026600,27558000,5283900,37.35950851,39.07462311,40.08921432
3/8/2019,1678100,29702200,4139200,37.35950851,38.60259247,40.19507217
3/11/2019,1759600,27667500,3501500,37.32227325,39.1784668,40.59923553
3/12/2019,1298100,22932200,3963400,37.2943306,39.39559937,40.27205276
3/13/2019,1164900,22500300,2973900,37.57368851,39.659935,40.84943008
3/14/2019,1574700,30474000,3707800,37.64818954,38.88580704,40.67621994
3/15/2019,2115800,70938000,8993600,37.83443069,39.44279861,40.90716553
3/18/2019,1365000,18021200,3076200,37.7040596,39.47112274,40.97452927
3/19/2019,2210600,25050500,3209200,37.6668129,39.93371582,41.25358963
3/20/2019,2035000,22295100,3757300,38.00204086,39.81098557,41.39793777
